actor,region
Haiti,North & Central America
Honduras,North & Central America
Hong Kong (China),Far East Asia
India,South & Central Asia
Indonesia,Far East Asia
Iran,Middle East
Iraq,Middle East
Jamaica,North & Central America
Jordan,Middle East
Kazakhstan,South & Central Asia
Kenya,"Africa, South of Sahara"
Kiribati,Oceania
Kosovo,Europe
Kyrgyzstan,South & Central Asia
Lao People's Democratic Republic,Far East Asia
Lebanon,Middle East
Lesotho,"Africa, South of Sahara"
Liberia,"Africa, South of Sahara"
Libya,"Africa, North of Sahara"
Macau (China),Far East Asia
Madagascar,"Africa, South of Sahara"
Malawi,"Africa, South of Sahara"
Malaysia,Far East Asia
Maldives,South & Central Asia
Mali,"Africa, South of Sahara"
Malta,Europe
Marshall Islands,Oceania
Mauritania,"Africa, South of Sahara"
Mauritius,"Africa, South of Sahara"
Mayotte,"Africa, South of Sahara"
Mexico,North & Central America
Micronesia,Oceania
Moldova,Europe
Mongolia,Far East Asia
Montenegro,Europe
Montserrat,North & Central America
Morocco,"Africa, North of Sahara"
Mozambique,"Africa, South of Sahara"
Myanmar,Far East Asia
Namibia,"Africa, South of Sahara"
Nauru,Oceania
Nepal,South & Central Asia
Netherlands Antilles,North & Central America
New Caledonia,Oceania
Nicaragua,North & Central America
Niger,"Africa, South of Sahara"
Nigeria,"Africa, South of Sahara"
Niue,Oceania
North Macedonia,Europe
Northern Mariana Islands,Oceania
Oman,Middle East
Pakistan,South & Central Asia
Palau,Oceania
Palestinian Adm. Areas,Middle East
Panama,North & Central America
Papua New Guinea,Oceania
Paraguay,South America
Peru,South America
Philippines,Far East Asia
Russia,Europe
Rwanda,"Africa, South of Sahara"
Saint Helena,"Africa, South of Sahara"
Saint Kitts and Nevis,North & Central America
Saint Lucia,North & Central America
Saint Vincent and the Grenadines,North & Central America
Samoa,Oceania
Sao Tome and Principe,"Africa, South of Sahara"
Saudi Arabia,Middle East
Senegal,"Africa, South of Sahara"
Serbia,Europe
Seychelles,"Africa, South of Sahara"
Sierra Leone,"Africa, South of Sahara"
Singapore,Far East Asia
Solomon Islands,Oceania
Somalia,"Africa, South of Sahara"
South Africa,"Africa, South of Sahara"
South Sudan,"Africa, South of Sahara"
Sri Lanka,South & Central Asia
Sudan,"Africa, South of Sahara"
Suriname,South America
Syrian Arab Republic,Middle East
Tajikistan,South & Central Asia
Tanzania,"Africa, South of Sahara"
Thailand,Far East Asia
Timor-Leste,Far East Asia
Togo,"Africa, South of Sahara"
Tokelau,Oceania
Tonga,Oceania
Trinidad and Tobago,North & Central America
Tunisia,"Africa, North of Sahara"
Turkmenistan,South & Central Asia
Turks and Caicos Islands,North & Central America
Tuvalu,Oceania
Uganda,"Africa, South of Sahara"
Ukraine,Europe
Uruguay,South America
Uzbekistan,South & Central Asia
Vanuatu,Oceania
Venezuela,South America
Viet Nam,Far East Asia
Wallis and Futuna,Oceania
Yemen,Middle East
Zambia,"Africa, South of Sahara"
Zimbabwe,"Africa, South of Sahara"
